CustomerID,Age,Gender,City,State,Country,Segment,Income,SignupDate,LifetimeValue,LoyaltyTier
CUST000001,41,Female,Houston,TX,USA,Regular,20400.0,2022-09-15,1184.79,Bronze
CUST000002,24,Male,Glasgow,Scotland,UK,Premium,61400.0,2020-12-23,7323.16,Platinum
CUST000003,47,Female,Manchester,England,UK,Regular,22100.0,2020-06-29,1904.28,Bronze
CUST000004,50,Male,Toronto,Ontario,Canada,Budget,15200.0,2020-02-25,1858.33,Bronze
CUST000005,18,Male,Hyderabad,Telangana,India,New,30500.0,2024-05-14,0.0,Bronze
CUST000006,21,Male,Glasgow,Scotland,UK,Budget,40900.0,2021-06-06,397.07,Bronze
CUST000007,39,Male,Delhi,Delhi,India,New,16600.0,2024-08-03,194.35,Bronze
CUST000008,33,Male,Seattle,WA,USA,Regular,36800.0,2022-03-26,3270.72,Silver
CUST000009,37,Male,Houston,TX,USA,Regular,20700.0,2023-04-04,1322.59,Bronze
CUST000010,26,Male,Birmingham,England,UK,Regular,28300.0,2023-11-02,7438.67,Platinum
CUST000011,49,Male,Chennai,Tamil Nadu,India,Regular,55200.0,2021-04-06,4728.49,Gold
CUST000012,48,Female,Chicago,IL,USA,Regular,24800.0,2020-03-18,2820.18,Silver
CUST000013,38,Male,Dallas,TX,USA,Premium,58100.0,2023-04-08,3789.83,Silver
CUST000014,52,Male,London,England,UK,New,34800.0,2021-05-23,157.14,Bronze
CUST000015,44,Male,Phoenix,AZ,USA,Premium,89600.0,2021-03-06,5958.82,Gold
CUST000016,26,Female,New York,NY,USA,Budget,17000.0,2021-07-14,937.04,Bronze
CUST000017,42,Female,London,England,UK,Premium,115300.0,2023-05-06,9227.51,Platinum
CUST000018,25,Other,Vancouver,British Columbia,Canada,Regular,29700.0,2020-08-05,4298.27,Gold
CUST000019,49,Female,Chicago,IL,USA,Budget,27100.0,2021-06-21,2924.57,Silver
CUST000020,37,Male,Dallas,TX,USA,Regular,33300.0,2020-08-16,6765.92,Gold
CUST000021,35,Female,Seattle,WA,USA,Premium,91200.0,2023-10-09,7826.57,Platinum
CUST000022,29,Male,Seattle,WA,USA,Regular,90400.0,2024-08-06,6384.44,Gold
CUST000023,53,Female,Pune,Maharashtra,India,Budget,19200.0,2021-07-25,2122.97,Bronze
CUST000024,35,Male,Los Angeles,CA,USA,Regular,36100.0,2024-11-25,5225.54,Gold
CUST000025,32,Male,Phoenix,AZ,USA,Regular,29900.0,2024-01-04,3816.62,Silver
CUST000026,33,Female,Vancouver,British Columbia,Canada,Premium,50200.0,2023-11-21,5655.98,Gold
CUST000027,44,Female,Pune,Maharashtra,India,Regular,26500.0,2024-01-12,9513.59,Platinum
CUST000028,42,Female,Houston,TX,USA,Budget,21600.0,2020-06-14,5666.49,Gold
CUST000029,43,Male,Seattle,WA,USA,Regular,25600.0,2020-08-19,5635.56,Gold
CUST000030,43,Male,Bengaluru,Karnataka,India,Regular,26000.0,2022-05-03,3205.87,Silver
CUST000031,65,Male,Chennai,Tamil Nadu,India,Budget,5200.0,2021-08-17,730.03,Bronze
CUST000032,32,Male,Vancouver,British Columbia,Canada,Budget,40600.0,2021-10-07,2608.97,Silver
CUST000033,31,Male,Phoenix,AZ,USA,Premium,137000.0,2020-08-23,11585.49,Platinum
CUST000034,27,Male,Chennai,Tamil Nadu,India,Regular,48600.0,2023-04-10,3656.09,Silver
CUST000035,46,Female,Dallas,TX,USA,Budget,14700.0,2021-06-25,2367.9,Silver
CUST000036,52,Male,Houston,TX,USA,Regular,20600.0,2022-11-17,1102.32,Bronze
CUST000037,36,Female,Delhi,Delhi,India,Premium,32300.0,2022-06-16,4470.68,Gold
CUST000038,27,Female,Mumbai,Maharashtra,India,Budget,29100.0,2023-07-03,3177.95,Silver
CUST000039,27,Female,Chicago,IL,USA,Regular,64200.0,2021-03-27,2470.54,Silver
CUST000040,46,Male,Phoenix,AZ,USA,Premium,70400.0,2020-04-20,11007.06,Platinum
CUST000041,47,Male,Hyderabad,Telangana,India,Regular,53400.0,2020-02-03,3457.25,Silver
CUST000042,45,Male,New York,NY,USA,Regular,44400.0,2022-12-11,4310.18,Gold
CUST000043,29,Female,Houston,TX,USA,Premium,46200.0,2024-07-28,4264.91,Silver
CUST000044,41,Male,Seattle,WA,USA,Regular,57200.0,2020-10-28,4789.85,Gold
CUST000045,39,Male,Dallas,TX,USA,Regular,55600.0,2024-11-12,2048.27,Bronze
CUST000046,40,Other,Chennai,Tamil Nadu,India,Regular,23300.0,2024-03-23,1657.35,Bronze
CUST000047,49,Female,Seattle,WA,USA,Regular,52200.0,2020-07-14,8060.59,Platinum
CUST000048,40,Female,London,England,UK,Premium,61200.0,2023-06-02,4211.03,Silver
CUST000049,46,Male,Hyderabad,Telangana,India,Budget,19400.0,2022-04-15,1830.97,Bronze
CUST000050,38,Female,Houston,TX,USA,Budget,26000.0,2024-02-04,2631.85,Silver
CUST000051,41,Male,Birmingham,England,UK,Regular,42700.0,2023-08-30,3527.12,Silver
CUST000052,46,Male,Dallas,TX,USA,Premium,97500.0,2023-07-15,3154.55,Silver
CUST000053,19,Female,Chennai,Tamil Nadu,India,Premium,44600.0,2023-11-28,4621.83,Gold
CUST000054,33,Female,Bengaluru,Karnataka,India,New,42200.0,2021-08-31,682.16,Bronze
CUST000055,31,Female,Pune,Maharashtra,India,Regular,21500.0,2021-08-19,7656.85,Platinum
CUST000056,29,Male,Houston,TX,USA,Regular,33500.0,2024-04-17,5911.9,Gold
CUST000057,34,Male,Pune,Maharashtra,India,Budget,20700.0,2020-02-11,608.89,Bronze
CUST000058,57,Female,Glasgow,Scotland,UK,Budget,33700.0,2022-04-28,750.08,Bronze
CUST000059,26,Female,Dallas,TX,USA,New,32800.0,2021-05-25,2125.7,Bronze
CUST000060,50,Male,Los Angeles,CA,USA,Regular,32300.0,2024-12-26,4272.79,Gold
CUST000061,18,Male,Seattle,WA,USA,New,62100.0,2023-01-23,7.29,Bronze
CUST000062,33,Female,Houston,TX,USA,Premium,53900.0,2020-02-02,6430.78,Gold
CUST000063,40,Female,Phoenix,AZ,USA,Budget,17600.0,2020-09-17,4614.57,Gold
CUST000064,45,Male,Toronto,Ontario,Canada,Regular,15600.0,2024-10-28,538.82,Bronze
CUST000065,47,Female,Vancouver,British Columbia,Canada,New,29600.0,2021-08-18,971.86,Bronze
CUST000066,48,Other,Chicago,IL,USA,Budget,14300.0,2021-03-26,5554.71,Gold
CUST000067,33,Male,Toronto,Ontario,Canada,Budget,19500.0,2024-04-23,6792.03,Gold
CUST000068,31,Female,Chennai,Tamil Nadu,India,Budget,24300.0,2020-08-28,1774.22,Bronze
CUST000069,49,Female,London,England,UK,Regular,22300.0,2024-02-07,2578.52,Silver
CUST000070,35,Female,Montreal,Quebec,Canada,Regular,25100.0,2020-01-09,1692.74,Bronze
CUST000071,21,Female,Hyderabad,Telangana,India,Premium,31800.0,2024-12-15,2117.86,Bronze
CUST000072,23,Female,Leeds,England,UK,Budget,17300.0,2021-10-02,181.51,Bronze
CUST000073,26,Female,Dallas,TX,USA,Premium,42700.0,2023-10-24,17226.99,Platinum
CUST000074,44,Male,New York,NY,USA,Regular,95300.0,2021-12-20,993.85,Bronze
CUST000075,39,Female,Toronto,Ontario,Canada,Regular,71500.0,2021-03-03,5009.85,Gold
CUST000076,46,Male,Dallas,TX,USA,Budget,39900.0,2022-03-20,1127.04,Bronze
CUST000077,32,Male,Los Angeles,CA,USA,Regular,20300.0,2021-04-11,2623.14,Silver
CUST000078,40,Female,Chicago,IL,USA,Regular,33500.0,2021-03-07,4897.39,Gold
CUST000079,46,Female,Leeds,England,UK,Regular,21100.0,2023-05-07,1522.19,Bronze
CUST000080,33,Other,Houston,TX,USA,Regular,83200.0,2020-08-25,3609.25,Silver
CUST000081,43,Female,Toronto,Ontario,Canada,Regular,52800.0,2024-08-03,7375.27,Platinum
CUST000082,29,Female,Los Angeles,CA,USA,Regular,22600.0,2022-05-13,3177.24,Silver
CUST000083,33,Male,Chennai,Tamil Nadu,India,Budget,25700.0,2021-03-28,4441.06,Gold
CUST000084,33,Female,Birmingham,England,UK,Regular,18600.0,2021-05-27,3668.87,Silver
CUST000085,22,Other,Glasgow,Scotland,UK,New,30700.0,2023-06-01,363.85,Bronze
CUST000086,44,Male,Houston,TX,USA,Regular,33600.0,2020-03-11,1296.51,Bronze
CUST000087,31,Female,Phoenix,AZ,USA,Regular,50700.0,2020-01-26,3062.12,Silver
CUST000088,38,Female,Bengaluru,Karnataka,India,New,51000.0,2024-06-10,618.07,Bronze
CUST000089,44,Male,Mumbai,Maharashtra,India,Budget,22000.0,2024-07-09,2355.64,Silver
CUST000090,43,Female,Houston,TX,USA,Regular,32800.0,2022-01-20,3628.5,Silver
CUST000091,46,Male,Montreal,Quebec,Canada,Premium,15200.0,2024-01-25,7527.72,Platinum
CUST000092,36,Male,Bengaluru,Karnataka,India,Regular,73300.0,2024-08-31,5306.51,Gold
CUST000093,32,Male,Seattle,WA,USA,Regular,27000.0,2020-12-09,3763.91,Silver
CUST000094,36,Male,Leeds,England,UK,Regular,38000.0,2022-10-28,4517.14,Gold
CUST000095,18,Male,Pune,Maharashtra,India,Regular,100400.0,2020-09-08,2610.62,Silver
CUST000096,19,Female,Pune,Maharashtra,India,Regular,21200.0,2021-05-16,3893.49,Silver
CUST000097,20,Male,Los Angeles,CA,USA,Regular,36700.0,2021-09-14,8596.3,Platinum
CUST000098,25,Female,Seattle,WA,USA,Budget,27200.0,2023-02-06,2569.97,Silver
CUST000099,43,Female,New York,NY,USA,Premium,106900.0,2021-04-10,4246.94,Silver
CUST000100,26,Male,New York,NY,USA,New,32700.0,2024-07-02,352.65,Bronze
CUST000101,33,Male,Dallas,TX,USA,Regular,61600.0,2023-06-14,2933.94,Silver
CUST000102,54,Female,London,England,UK,New,27100.0,2020-11-08,6124.35,Gold
CUST000103,33,Female,Birmingham,England,UK,Budget,27800.0,2021-08-09,4215.83,Silver
CUST000104,47,Female,Los Angeles,CA,USA,Regular,43800.0,2023-10-13,3493.31,Silver
CUST000105,25,Male,Leeds,England,UK,Regular,34900.0,2020-10-01,1344.89,Bronze
CUST000106,35,Female,New York,NY,USA,Premium,75600.0,2022-06-29,10771.62,Platinum
CUST000107,25,Female,Los Angeles,CA,USA,Budget,14700.0,2021-05-01,1277.61,Bronze
CUST000108,33,Other,Pune,Maharashtra,India,Regular,31700.0,2024-04-02,2915.89,Silver
CUST000109,48,Male,Bengaluru,Karnataka,India,Budget,12200.0,2024-04-25,1061.48,Bronze
CUST000110,18,Female,Los Angeles,CA,USA,Budget,17900.0,2020-01-22,2681.69,Silver
CUST000111,43,Male,Mumbai,Maharashtra,India,Regular,60600.0,2020-06-06,3416.29,Silver
CUST000112,41,Female,Mumbai,Maharashtra,India,Budget,26300.0,2023-02-02,2049.03,Bronze
CUST000113,30,Female,London,England,UK,Budget,25000.0,2020-05-11,2074.62,Bronze
CUST000114,19,Female,Toronto,Ontario,Canada,Budget,10600.0,2020-11-23,1995.6,Bronze
CUST000115,38,Male,New York,NY,USA,Premium,75500.0,2023-08-24,9625.74,Platinum
CUST000116,31,Female,Houston,TX,USA,Regular,35300.0,2023-01-30,3372.52,Silver
CUST000117,41,Male,Chennai,Tamil Nadu,India,Regular,46300.0,2022-05-10,6065.24,Gold
CUST000118,38,Female,Leeds,England,UK,Regular,67700.0,2023-04-03,3318.94,Silver
CUST000119,58,Female,Chicago,IL,USA,Regular,30200.0,2023-07-28,680.58,Bronze
CUST000120,34,Female,Houston,TX,USA,New,28400.0,2023-10-20,950.11,Bronze
CUST000121,24,Male,Dallas,TX,USA,Regular,54900.0,2021-10-23,1550.67,Bronze
CUST000122,40,Female,Seattle,WA,USA,Regular,27700.0,2022-12-24,8053.01,Platinum
CUST000123,40,Female,Houston,TX,USA,Premium,68000.0,2020-02-29,4246.92,Silver
CUST000124,55,Female,Toronto,Ontario,Canada,New,13300.0,2020-08-17,1121.66,Bronze
CUST000125,48,Female,Seattle,WA,USA,Regular,31600.0,2024-07-06,3287.15,Silver
CUST000126,42,Female,Pune,Maharashtra,India,Regular,65300.0,2021-09-11,980.84,Bronze
CUST000127,57,Female,New York,NY,USA,Regular,42200.0,2021-11-01,1885.47,Bronze
CUST000128,22,Female,Los Angeles,CA,USA,Regular,54400.0,2024-09-26,1262.28,Bronze
CUST000129,29,Male,Vancouver,British Columbia,Canada,Regular,55800.0,2021-01-21,6486.98,Gold
CUST000130,25,Female,Dallas,TX,USA,Regular,66600.0,2022-04-19,4027.49,Silver
CUST000131,32,Male,Dallas,TX,USA,Regular,31100.0,2020-11-02,2475.0,Silver
CUST000132,20,Male,Delhi,Delhi,India,Premium,99900.0,2022-07-07,8162.51,Platinum
CUST000133,46,Female,Dallas,TX,USA,Regular,99900.0,2022-11-24,14720.97,Platinum
CUST000134,35,Male,Seattle,WA,USA,Budget,21500.0,2021-07-27,3789.06,Silver
CUST000135,18,Female,Montreal,Quebec,Canada,Regular,20100.0,2021-03-06,2549.03,Silver
CUST000136,24,Other,Dallas,TX,USA,New,25000.0,2021-03-24,55.64,Bronze
CUST000137,42,Male,Hyderabad,Telangana,India,Regular,44800.0,2022-08-04,5235.22,Gold
CUST000138,48,Male,Houston,TX,USA,Regular,17200.0,2022-03-05,1654.24,Bronze
CUST000139,63,Male,Phoenix,AZ,USA,Budget,15500.0,2020-01-15,4773.94,Gold
CUST000140,75,Male,Birmingham,England,UK,Regular,31300.0,2020-08-16,4400.01,Gold
CUST000141,43,Female,Chennai,Tamil Nadu,India,Premium,68700.0,2023-01-05,1633.0,Bronze
CUST000142,25,Female,Chicago,IL,USA,Regular,81500.0,2021-10-17,1444.13,Bronze
CUST000143,18,Female,Hyderabad,Telangana,India,New,44500.0,2024-03-04,4098.12,Silver
CUST000144,41,Male,Mumbai,Maharashtra,India,Regular,22000.0,2023-04-25,6038.07,Gold
CUST000145,27,Female,Birmingham,England,UK,Premium,372600.0,2022-04-26,5093.13,Gold
CUST000146,32,Male,Glasgow,Scotland,UK,Premium,64900.0,2023-02-14,9094.87,Platinum
CUST000147,30,Female,Manchester,England,UK,Regular,17000.0,2020-05-07,5016.46,Gold
CUST000148,36,Female,Hyderabad,Telangana,India,Regular,22800.0,2020-09-17,718.74,Bronze
CUST000149,51,Male,Houston,TX,USA,Budget,13700.0,2024-11-10,1331.77,Bronze
CUST000150,40,Female,Mumbai,Maharashtra,India,New,17800.0,2023-09-14,142.59,Bronze
CUST000151,35,Female,London,England,UK,New,41200.0,2024-03-19,131.64,Bronze
CUST000152,24,Male,Toronto,Ontario,Canada,Regular,10900.0,2024-04-15,713.58,Bronze
CUST000153,18,Female,Vancouver,British Columbia,Canada,Regular,56500.0,2022-04-09,5070.99,Gold
CUST000154,31,Female,Chicago,IL,USA,Regular,52400.0,2021-03-30,2367.76,Silver
CUST000155,37,Male,Seattle,WA,USA,Premium,53200.0,2021-05-11,10086.78,Platinum
CUST000156,60,Male,Leeds,England,UK,Regular,54800.0,2022-11-12,2698.64,Silver
CUST000157,39,Female,London,England,UK,Regular,22200.0,2022-12-19,3677.75,Silver
CUST000158,50,Female,Pune,Maharashtra,India,Premium,44700.0,2023-11-14,1781.36,Bronze
CUST000159,31,Female,Dallas,TX,USA,Budget,27900.0,2020-09-09,1288.29,Bronze
CUST000160,22,Female,Leeds,England,UK,Budget,19800.0,2020-11-08,3481.23,Silver
CUST000161,25,Female,Toronto,Ontario,Canada,New,24700.0,2023-03-01,1914.57,Bronze
CUST000162,28,Male,Toronto,Ontario,Canada,Regular,34500.0,2024-01-29,3188.01,Silver
CUST000163,65,Male,Phoenix,AZ,USA,Budget,39400.0,2022-08-28,11920.83,Platinum
CUST000164,27,Male,Montreal,Quebec,Canada,Regular,64600.0,2021-05-05,3657.04,Silver
CUST000165,48,Female,New York,NY,USA,Premium,79200.0,2023-08-13,3389.97,Silver
CUST000166,26,Female,London,England,UK,Regular,30900.0,2023-04-21,5871.78,Gold
CUST000167,50,Female,Los Angeles,CA,USA,Regular,45900.0,2024-04-03,3800.55,Silver
CUST000168,43,Male,Manchester,England,UK,Regular,24600.0,2021-06-10,997.01,Bronze
CUST000169,35,Female,Seattle,WA,USA,Budget,36900.0,2020-08-03,715.84,Bronze
CUST000170,37,Female,Seattle,WA,USA,Regular,55700.0,2021-02-20,5421.75,Gold
CUST000171,29,Male,Chicago,IL,USA,New,78000.0,2020-12-27,1817.99,Bronze
CUST000172,43,Male,Montreal,Quebec,Canada,Premium,45600.0,2024-03-19,8540.91,Platinum
CUST000173,32,Female,London,England,UK,Budget,14400.0,2020-09-01,2191.35,Bronze
CUST000174,22,Female,Pune,Maharashtra,India,New,41900.0,2020-11-17,1030.13,Bronze
CUST000175,21,Female,Pune,Maharashtra,India,Regular,32100.0,2023-06-01,4611.24,Gold
CUST000176,40,Male,Seattle,WA,USA,Budget,34200.0,2021-11-29,565.18,Bronze
CUST000177,58,Female,Dallas,TX,USA,Budget,39400.0,2024-08-19,891.05,Bronze
CUST000178,40,Male,New York,NY,USA,Premium,140700.0,2020-09-16,12481.98,Platinum
CUST000179,36,Male,Birmingham,England,UK,Budget,22400.0,2024-12-23,2040.48,Bronze
CUST000180,41,Female,Toronto,Ontario,Canada,Budget,32400.0,2024-11-04,2438.41,Silver
CUST000181,54,Male,New York,NY,USA,Premium,51800.0,2021-12-03,3624.62,Silver
CUST000182,40,Female,Mumbai,Maharashtra,India,Regular,40000.0,2021-03-21,7577.12,Platinum
CUST000183,32,Male,Chennai,Tamil Nadu,India,Premium,63800.0,2020-12-01,15017.27,Platinum
CUST000184,52,Male,Toronto,Ontario,Canada,Regular,34600.0,2020-01-28,5431.42,Gold
CUST000185,43,Male,Dallas,TX,USA,New,74300.0,2024-11-26,2419.72,Silver
CUST000186,57,Female,Montreal,Quebec,Canada,New,17900.0,2021-06-28,895.37,Bronze
CUST000187,40,Male,Glasgow,Scotland,UK,Budget,21700.0,2023-06-02,1979.92,Bronze
CUST000188,22,Male,Birmingham,England,UK,Regular,37200.0,2020-06-01,1167.58,Bronze
CUST000189,20,Male,Chennai,Tamil Nadu,India,Regular,48500.0,2023-07-17,624.61,Bronze
CUST000190,59,Male,Chicago,IL,USA,Premium,39900.0,2022-12-06,2470.6,Silver
CUST000191,60,Female,Hyderabad,Telangana,India,Regular,31700.0,2023-07-05,6336.5,Gold
CUST000192,35,Female,Leeds,England,UK,Budget,16700.0,2021-06-30,1562.7,Bronze
CUST000193,33,Male,Pune,Maharashtra,India,Regular,13200.0,2020-06-28,4072.9,Silver
CUST000194,56,Female,Delhi,Delhi,India,Regular,61300.0,2022-03-02,1157.89,Bronze
CUST000195,23,Male,London,England,UK,Premium,33700.0,2023-04-04,4244.49,Silver
