ProductID,Warehouse,OpeningStock,ReceivedStock,SoldStock,DamagedStock,ClosingStock,ReorderLevel,LeadTimeDays,SupplierRating
PROD000001,WH_08,91,9,1,0,99,28,18,3.5
PROD000001,WH_16,42,43,2,0,83,18,19,3.7
PROD000001,WH_02,73,19,6,0,86,24,7,3.2
PROD000002,WH_11,56,24,0,0,80,21,18,3.2
PROD000002,WH_14,82,26,3,0,105,26,12,3.1
PROD000002,WH_09,77,20,3,0,94,25,5,3.3
PROD000002,WH_03,29,12,5,0,36,15,11,3.9
PROD000003,WH_17,84,62,14,0,132,26,4,3.0
PROD000003,WH_09,29,16,1,0,44,15,9,3.8
PROD000003,WH_12,83,10,7,0,86,26,4,4.6
PROD000004,WH_15,56,18,7,0,67,21,10,2.6
PROD000004,WH_14,40,11,6,0,45,18,11,3.6
PROD000004,WH_10,37,17,4,0,50,17,2,4.7
PROD000005,WH_10,95,50,5,0,140,29,5,5.0
PROD000005,WH_13,70,51,41,0,80,24,18,3.3
PROD000005,WH_15,91,41,20,0,112,28,13,4.6
PROD000005,WH_08,35,25,5,0,55,17,8,4.6
PROD000005,WH_11,89,42,23,1,107,27,7,4.8
PROD000006,WH_13,35,33,2,0,66,17,14,4.0
PROD000006,WH_04,87,21,5,0,103,27,16,3.8
PROD000006,WH_12,88,46,1,0,133,27,7,3.7
PROD000006,WH_07,81,39,3,0,117,26,15,3.8
PROD000007,WH_13,93,37,5,0,125,28,2,3.1
PROD000007,WH_05,52,5,2,0,55,20,14,4.4
PROD000007,WH_12,85,16,9,0,92,27,20,4.2
PROD000007,WH_02,24,6,3,0,27,14,6,4.3
PROD000008,WH_18,92,29,1,0,120,28,18,3.3
PROD000008,WH_09,85,25,1,0,109,27,6,3.9
PROD000008,WH_05,85,51,3,0,133,27,10,3.7
PROD000008,WH_02,79,31,3,0,107,25,18,4.1
PROD000008,WH_17,47,39,1,0,85,19,16,4.4
PROD000009,WH_17,38,43,2,0,79,17,13,3.1
PROD000009,WH_19,17,30,0,0,47,13,9,4.9
PROD000009,WH_18,87,36,1,0,122,27,11,4.0
PROD000009,WH_15,96,21,1,0,116,29,4,3.0
PROD000009,WH_13,68,21,2,0,87,23,20,3.5
PROD000010,WH_06,181,159,120,1,219,46,20,4.7
PROD000010,WH_17,72,15,18,0,69,24,3,2.6
PROD000010,WH_20,34,31,14,0,51,16,6,4.4
PROD000011,WH_19,29,38,3,0,64,15,20,3.2
PROD000011,WH_16,62,31,0,0,93,22,9,4.4
PROD000011,WH_08,89,34,2,0,121,27,20,2.9
PROD000011,WH_17,24,16,7,0,33,14,6,4.9
PROD000011,WH_13,95,20,0,0,115,29,4,3.6
PROD000012,WH_16,73,47,1,0,119,24,6,4.4
PROD000012,WH_11,31,1,0,0,32,16,6,3.8
PROD000012,WH_04,41,43,1,0,83,18,4,4.6
PROD000012,WH_20,92,9,6,0,95,28,17,4.3
PROD000012,WH_05,57,11,4,0,64,21,8,4.3
PROD000013,WH_05,103,14,7,0,110,30,6,4.8
PROD000013,WH_01,59,35,9,0,85,21,6,4.2
PROD000013,WH_20,85,10,4,0,91,27,15,3.7
PROD000014,WH_14,54,29,10,1,72,20,4,2.5
PROD000014,WH_04,84,7,1,0,90,26,8,3.0
PROD000014,WH_07,64,34,11,0,87,22,18,3.2
PROD000015,WH_05,105,28,15,0,118,31,15,4.5
PROD000015,WH_17,43,22,1,0,64,18,5,4.7
PROD000015,WH_18,49,34,3,0,80,19,13,4.1
PROD000015,WH_01,63,5,1,0,67,22,3,3.0
PROD000016,WH_06,93,25,3,0,115,28,2,4.8
PROD000016,WH_11,54,17,1,0,70,20,6,4.1
PROD000016,WH_20,18,46,1,0,63,13,12,4.5
PROD000017,WH_15,154,59,38,0,175,40,8,2.7
PROD000017,WH_16,86,23,1,0,108,27,10,2.9
PROD000017,WH_02,30,27,3,0,54,16,9,4.9
PROD000018,WH_17,90,2,2,0,90,28,6,3.8
PROD000018,WH_05,59,7,2,0,64,21,9,3.0
PROD000018,WH_06,26,12,0,0,38,15,2,3.4
PROD000018,WH_01,89,49,4,0,134,27,15,2.8
PROD000018,WH_19,81,6,3,0,84,26,11,4.5
PROD000019,WH_03,102,55,6,0,151,30,12,4.9
PROD000019,WH_13,35,24,14,0,45,17,2,2.8
PROD000019,WH_04,51,33,4,0,80,20,6,4.1
PROD000020,WH_10,77,33,1,0,109,25,14,2.7
PROD000020,WH_20,57,7,3,0,61,21,16,3.6
PROD000020,WH_15,63,21,1,0,83,22,11,3.5
PROD000020,WH_18,53,22,2,0,73,20,15,4.0
PROD000020,WH_05,104,48,5,0,147,30,19,4.9
PROD000021,WH_15,65,41,18,0,88,23,7,3.3
PROD000021,WH_18,41,22,3,0,60,18,9,4.4
PROD000021,WH_04,68,34,6,0,96,23,15,3.3
PROD000021,WH_07,63,30,5,0,88,22,8,2.8
PROD000022,WH_15,45,15,6,0,54,19,11,2.9
PROD000022,WH_07,39,54,12,0,81,17,18,3.9
PROD000022,WH_13,76,52,11,0,117,25,15,3.5
PROD000022,WH_10,26,44,1,0,69,15,14,4.3
PROD000022,WH_18,40,27,0,0,67,18,20,2.9
PROD000023,WH_12,40,34,7,0,67,18,6,4.0
PROD000023,WH_10,55,20,6,0,69,21,18,2.8
PROD000023,WH_03,82,29,7,0,104,26,14,3.6
PROD000023,WH_17,88,34,6,0,116,27,8,2.8
PROD000023,WH_20,55,34,0,0,89,21,11,4.3
PROD000024,WH_13,74,36,7,0,103,24,5,3.8
PROD000024,WH_17,88,49,1,0,136,27,19,4.4
PROD000024,WH_18,94,48,0,0,142,28,13,4.8
PROD000024,WH_01,100,36,6,0,130,30,5,3.3
PROD000025,WH_02,92,34,4,0,122,28,8,3.4
PROD000025,WH_17,62,25,5,0,82,22,5,2.5
PROD000025,WH_20,98,51,8,0,141,29,10,3.8
PROD000026,WH_19,53,13,6,0,60,20,2,4.3
PROD000026,WH_01,28,36,0,0,64,15,10,3.4
PROD000026,WH_15,15,47,1,0,61,13,5,3.6
